Camera,Burrow,On,Off
131,18,29-Apr-2013 00:00,18-May-2013 10:58
131,381,11-Jun-2013 17:11,12-Jul-2013 23:59
132,179,29-Apr-2013 00:00,01-May-2013 09:38
132,341,11-Jun-2013 17:11,13-Jun-2013 10:05
132,341,13-Jun-2013 10:37,12-Jul-2013 23:59
133,293,16-Jun-2013 10:26,12-Jul-2013 23:59
134,391,13-Jun-2013 10:37,12-Jul-2013 23:59
135,353,26-May-2013 16:30,31-May-2013 09:24
135,250,15-Jun-2013 11:19,27-Jun-2013 04:58
135,250,27-Jun-2013 05:07,12-Jul-2013 23:59
136,218,29-Apr-2013 00:00,12-May-2013 09:06
136,218,26-May-2013 16:41,30-May-2013 15:52
136,138,06-Jun-2013 09:37,11-Jun-2013 08:40
136,138,11-Jun-2013 08:40,11-Jun-2013 19:28
136,339,11-Jun-2013 19:29,29-Jun-2013 10:42
136,138,29-Jun-2013 10:43,12-Jul-2013 23:59
137,250,28-May-2013 13:29,05-Jun-2013 19:30
137,249,15-Jun-2013 11:17,07-Jul-2013 10:04
137,249,07-Jul-2013 11:29,12-Jul-2013 23:59
138,54,13-Jun-2013 10:37,12-Jul-2013 23:59
139,269,29-Apr-2013 00:00,18-May-2013 10:19
139,191,28-May-2013 13:29,05-Jun-2013 19:14
139,338,13-Jun-2013 10:37,27-Jun-2013 04:58
139,338,27-Jun-2013 05:07,12-Jul-2013 23:59
140,72,28-May-2013 13:29,03-Jun-2013 12:16
140,73,13-Jun-2013 10:37,12-Jul-2013 23:59
141,166,29-Apr-2013 00:00,12-May-2013 11:46
141,167,13-Jun-2013 10:37,27-Jun-2013 04:59
141,167,27-Jun-2013 05:06,12-Jul-2013 23:59
142,326,29-Apr-2013 00:00,01-May-2013 09:33
142,340,11-Jun-2013 10:00,11-Jun-2013 17:01
142,340,11-Jun-2013 17:11,12-Jul-2013 23:59
143,343,11-Jun-2013 17:11,13-Jun-2013 10:06
143,343,13-Jun-2013 10:37,15-Jun-2013 11:00
143,410,15-Jun-2013 11:01,27-Jun-2013 04:59
143,410,27-Jun-2013 05:06,12-Jul-2013 23:59
144,259,29-Apr-2013 00:00,09-May-2013 12:29
144,145,09-May-2013 12:30,12-May-2013 11:30
145,84,27-May-2013 10:38,31-May-2013 09:27
145,269,31-May-2013 09:29,03-Jun-2013 12:44
145,345,13-Jun-2013 10:37,17-Jun-2013 10:29
145,413,17-Jun-2013 10:32,20-Jun-2013 10:33
145,269,20-Jun-2013 10:33,27-Jun-2013 04:59
145,269,27-Jun-2013 05:06,12-Jul-2013 23:59
146,28,29-Apr-2013 00:00,09-May-2013 12:31
146,362,16-Jun-2013 10:55,27-Jun-2013 04:59
146,362,27-Jun-2013 05:06,12-Jul-2013 23:59
147,58,11-Jun-2013 17:11,13-Jun-2013 10:05
147,58,13-Jun-2013 10:37,27-Jun-2013 04:59
147,58,27-Jun-2013 05:07,12-Jul-2013 23:59
148,418,22-Jun-2013 11:34,27-Jun-2013 04:59
148,418,27-Jun-2013 05:07,12-Jul-2013 23:59
149,317,29-Apr-2013 00:00,01-May-2013 11:11
149,306,01-May-2013 11:13,12-May-2013 00:00
149,306,14-May-2013 00:00,16-May-2013 00:00
149,346,11-Jun-2013 17:10,13-Jun-2013 10:06
149,346,13-Jun-2013 10:37,17-Jun-2013 10:27
149,100,17-Jun-2013 10:33,27-Jun-2013 05:06
150,70,29-Apr-2013 00:00,12-May-2013 00:00
150,70,11-Jun-2013 08:45,11-Jun-2013 17:00
150,70,11-Jun-2013 17:10,13-Jun-2013 10:06
150,70,13-Jun-2013 10:37,27-Jun-2013 04:59
151,105,29-Apr-2013 00:00,12-May-2013 00:00
151,105,14-May-2013 00:00,16-May-2013 00:00
151,187,05-Jun-2013 19:12,11-Jun-2013 08:44
151,187,11-Jun-2013 08:45,11-Jun-2013 17:00
151,187,11-Jun-2013 17:10,13-Jun-2013 10:04
151,187,13-Jun-2013 10:37,20-Jun-2013 12:16
151,187,20-Jun-2013 12:24,27-Jun-2013 04:59
151,187,27-Jun-2013 05:07,04-Jul-2013 06:33
152,59,29-Apr-2013 00:00,01-May-2013 10:58
152,62,01-May-2013 11:07,09-May-2013 11:43
152,60,09-May-2013 11:45,12-May-2013 00:00
152,60,14-May-2013 00:00,16-May-2013 00:00
